汉庭快捷酒店（上海虹桥枢纽沪星路店） ,021-60406381,021-60833330
久悦商务酒店（上海静安店） ,021-62329959,021-62323666-101、102
蓝山国际青年旅舍（上海外滩店） ,021-33661563,021-33661561
上海安恒卓悦商务酒店 ,021-63179098,021-63170055
上海安徒生文化酒店 ,021-51812566,021-51607888
上海北方智选假日酒店（原上海北方快捷假日酒店） ,021-66293095,021-36179999
上海佰威大酒店 ,021-62296324,021-62290099
上海北外滩东信酒店 ,021-65376826,021-65456999
上海岑仙苑会所 ,021-57393888-112,021-57393888-100
上海东晨饭店 ,021-56098999,021-56091530
上海鼎琅酒店 ,021-65358888-8061,021-65358888
上海地平线世纪时空酒店公寓 ,021-62482625,021-62484520
上海对外贸易学院国际交流中心酒店 ,021-52067238,021-52067300
上海广场嘉廷酒店 ,021-61371119,021-61371111
上海高化宾馆  ,021-58713203,021-58712633
上海高化宾馆  ,021-58713203,021-58712633
上海海福瑞酒店 ,021-36323215,021-36323355
上海汇亨新亚大酒店  ,021-58015500,021-58010000
上海沪江宾馆 ,021-64701751,021-64361130
上海恒隆大酒店 ,021-61271106,021-61271108
上海红露圆宁江大酒店 ,021-56607030,021-56608777
上海华美达中土酒店  ,021-56325699,021-56721188
上海虹桥嘉廷酒店（原上海嘉廷大酒店） ,021-61281119,021-61281111
上海衡山度假村  ,021-58003270,021-58000000
上海横沙岛天使度假村 ,021-56893815,021-56895858、56893819
上海海烟大酒店  ,021-65459112,021-35109888
上海今晨精品酒店 ,021-64708722,021-64706077、64750918
上海君航大酒店 ,021-56116777,021-56100000
上海金旅宾馆 ,21-67295858,021-67295588
上海金来源大酒店 ,021-37213888,021-57212121
上海骏朋大酒店 ,021-58383588,021-68395078
上海金桥智选假日酒店（原金桥快捷假日酒店） ,021-50135693,021-50559966
上海金桥中心智选假日酒店（原金桥中心快捷假日酒店） ,021-50619901,021-50619900
上海金沙江大酒店  ,021-62574149,021-62578888
上海江天宾馆  ,021-58707902,021-58705870
上海居祥商务酒店 ,021-28903487,021-28903377
上海教育会堂  ,021-64371763,021-64378088
上海郡雅酒店 ,021-68016999-8107,021-68016999
上海景苑水庄酒店 ,021-59249314,021-59248888
上海康弗特酒店 ,021-37597388,021-37597188
上海蕾枫大酒店  ,021-69580202,021-69581888
上海瑞景商务宾馆(原上海娜逸商务宾馆) ,021-68069777,021-68069111
上海绿梅宾馆 ,021-64880707-1101,021-64880707
上海乐泰精品花庭酒店 ,021-54366603,021-54649797  
上海联洋宜必思酒店 ,021-68547114,021-61055555
上海美臣大酒店  ,021-64671693,021-64662020
上海麦豪德精品酒店 ,021-52232225,021-52232223
上海美家园商务酒店 ,021-54221947,021-64052166
上海南汇嘴智选假日酒店（原南汇嘴快捷假日酒店） ,021-20943100,021-38289999
上海浦东大酒店  ,021-68750777,021-68758800
上海浦东绘家商务宾馆 ,021-50966603,021-50966188
上海亲和源（老年）度假酒店 ,021-38256356,021-38256058、38256000
上海钱桥国际酒店 ,021-60897098,021-60893000
上海瑞教商务酒店 ,021-68125699,021-20958888
上海世博东湖公寓酒店 ,021-38585777,021-38585555
上海丝绸之路大饭店  ,021-65548528,021-65549988
上海绅居商务酒店 ,021-57757448,021-57757448
上海三林智选假日酒店（原三林快捷假日酒店） ,021-50614667,021-50614666
上海神麒时尚酒店 ,021-62472360,021-62790222
上海上外迎宾馆 ,021-55385331,021-35054500
上海双拥大厦  ,021-58719080,021-58718898
上海天鹅宾馆  ,021-63248002,021-56665666
上海唐海大酒店 ,021-59182277,021-59195555
上海天悦九龙大酒店 ,021-68393773,021-58902222
上海文艺宾馆 ,021-62475017,021-62470000
上海新东苑国际酒店式公寓 ,021-34322846,021-34322255、021-34322267
上海小木屋会务中心 ,021-57160066,021-57162786
上海新亚大酒店  ,021-63566816,021-63242210
上海夏一尧酒店 ,021-64597408,021-54859668
上海云海饭店 ,021-56380784,021-56383247
上海意家人旅馆 ,021-51539153,021-51171818
上海亚龙大酒店  ,021-50386666-6135,021-50386666
上海云亭假日酒店 ,021-58385618,021-58385198
上海一天下大酒店  ,021-63817718,021-63807717
上海悦馨大酒店 ,021-52046682,021-62057777
上海悦兴国际大酒店 ,021-50677099,021-50675557、50675996-2102
上海悦享酒店 ,021-58183666,021-58185588
上海粤秀苑酒店 ,021-81843711,021-81843700
上海中电大酒店  ,021-58798929,021-58798798
上海中信五牛城酒店式公寓 ,021-58857268、021-58514985,021-51332588、021-58855858
神舟商旅酒店（上海徐汇店） ,021-64381882,021-64681177
维也纳酒店（上海浦东机场店） ,021-60930529,021-60897000
维也纳酒店（上海世博园店） ,021-68320006,021-68329999
杨建华大酒店（上海花木店） ,021-50592770,021-68451000
