布丁酒店（杭州绍兴路和平国际会展中心店） ,0571-28088559,0571-28088558
布丁酒店（杭州武林广场店） ,0571-28902977,0571-28902988、28875971
布丁酒店（杭州武林广场东店）（原建国北路店） ,0571-88223722,0571-88223522
布丁酒店（杭州文三店） ,0571-88979558,0571-88970558
布丁酒店（杭州西湖文化广场店） ,0571-85236770,0571-85237220
布丁酒店（杭州萧山金城路店） ,0571-22681667,0571-22681666
布丁酒店（萧山市心北路店） ,0571-22810065,0571-22810088
蚕岛酒店连锁（杭州滨盛路店） ,0571-86696328,0571-86696528
蚕岛酒店连锁（杭州余杭区政府店） ,0571-89175391,0571-89177899
蚕岛酒店连锁（杭州逸锦风尚店） ,0571-86882987,0571-86882988
Checkool-且客酒店式公寓（杭州星光店） ,0571-87985262,0571-88867083
格林豪泰（杭州火车南站店） ,0571-22810998,0571-22850998
格林豪泰（杭州萧山人民广场店） ,0571-57576868,0571-57576868
歌特品轩公寓酒店（杭州新城时代店） ,0571-85172940,0571-86997345
汉庭海友客栈（杭州保俶店） ,0571-88905522,0571-88905511
汉庭酒店（杭州湖滨店） ,0571-85118800,0571-85118811
汉庭快捷酒店（杭州东新路店） ,0571-28999991,0571-28827666
汉庭快捷酒店（杭州凤起路店） ,0571-87250537,0571-87228888
汉庭快捷酒店（杭州凤起中山北路店） ,0571-87010055,0571-87060077
汉庭快捷酒店（杭州艮山路店） ,0571-86725252,0571-86715888
汉庭快捷酒店（杭州火车南站通惠路店） ,0571-82393918,0571-83733788
汉庭快捷酒店（杭州西湖保俶店） ,0571-85112925,0571-88905500
汉庭快捷酒店（杭州西湖大道店） ,0571-56196688,0571-56196888
汉庭快捷酒店（杭州萧山金城路店） ,0571-22890086,0571-22890088
汉庭快捷酒店（杭州西溪五常大道店） ,0571-89301555,0571-89301333
杭州7尚连锁酒店（萧山店） ,0571-83733677,0571-83733177
杭州A8假日酒店 ,0571-88310006,0571-88310388
杭州爱丽酒店公寓 ,0571-56920990,0571-56920399、56920199
杭州爱瑞沃姆精致酒店 ,0571-56565318,0571-56565655
杭州岸香青年假日旅馆 ,0571-87983616,0571-87983616
杭州北海假日酒店 ,0571-85265288,0571-85265101
杭州百客百家快捷酒店 ,0571-87028889,0571-87066667
杭州布洛酒店式公寓 ,0571-86538565,0571-85154772
杭州巴伦假日酒店 ,0571-56081036,0571-87088666
杭州百利沙西城酒店 ,0571-87007700,0571-81022222
杭州宝麓山庄 ,0571-85157345,0571-85211067
